id,age,level,height,weight,waist,hip,income,bmi
588,68,1,162,76,101,105,1,29
589,65,1,167,53,74,87,1,19
590,56,1,153,65,94,102,1,28
591,58,1,159,55,78,94,1,22
592,42,1,144,56,82,90,4,27
593,43,2,164,53,73,83,4,20
594,62,1,159,61,86,95,1,24
595,62,1,157,53,88,88,2,21
596,43,3,173,80,93,98,3,27
597,57,1,153,59,96,98,4,25
598,60,1,160,56,77,85,1,22
599,48,2,171,73,88,99,2,25
600,47,2,153,50,74,86,3,21
601,58,1,167,67,86,92,1,24
602,53,1,155,77,99,103,1,32
603,54,2,162,72,92,96,4,27
604,49,2,153,54,83,91,3,23
605,65,1,142,40,71,84,1,20
606,68,1,144,37,68,81,5,18
607,44,2,168,55,72,84,5,20
608,64,1,160,63,89,92,3,24
609,57,2,174,70,86,95,1,23
610,42,4,170,72,87,97,5,25
611,45,3,157,71,88,100,5,29
612,53,3,166,54,75,86,2,20
613,52,1,147,46,71,88,1,21
614,64,1,164,53,76,88,2,20
615,39,3,157,52,73,90,4,21
616,63,1,154,42,66,82,1,18
617,60,1,155,62,90,100,1,26
618,66,3,163,52,69,87,4,20
619,56,1,147,44,65,82,6,20
620,53,2,169,49,70,81,2,17
621,44,3,174,75,89,94,3,25
622,60,1,154,58,81,93,2,25
623,43,2,169,67,89,95,2,24
624,60,1,166,56,77,89,1,20
625,68,1,156,49,75,84,1,20
626,68,1,144,48,78,90,1,23
627,63,1,164,61,86,93,1,23
628,62,1,162,60,83,95,1,23
629,54,1,152,61,92,98,1,27
630,59,1,163,54,76,87,2,20
631,49,1,145,47,82,90,1,21
632,48,1,151,50,74,89,1,22
633,69,2,172,68,92,96,1,23
634,68,1,154,52,78,90,1,22
635,65,5,165,75,97,98,5,27
636,60,3,162,57,84,92,5,22
637,65,1,164,61,84,90,1,23
638,60,2,153,61,84,92,1,26
639,58,1,157,50,74,86,1,20
640,53,1,161,71,90,99,2,27
641,57,1,156,68,93,97,1,28
642,51,3,162,61,78,94,2,23
643,49,1,172,72,85,95,1,25
644,43,1,152,59,84,94,2,26
645,43,2,146,58,80,92,3,27
646,43,2,170,68,87,93,3,23
647,68,1,167,59,81,91,1,21
648,59,2,171,56,75,90,4,19
649,55,3,160,60,89,93,3,23
650,46,3,154,50,78,88,5,21
651,67,1,149,57,100,95,1,26
652,65,1,167,70,90,95,1,25
653,61,1,152,57,89,96,2,25
654,56,3,160,69,99,99,3,27
655,58,1,162,51,75,86,2,19
656,58,1,174,72,90,96,1,24
657,53,1,149,50,83,89,1,23
658,44,3,163,57,76,87,3,22
659,66,2,155,68,99,106,1,28
660,45,1,169,58,75,86,2,20
661,40,4,162,58,84,89,6,22
662,66,1,145,54,86,94,1,26
663,44,2,172,65,79,93,1,22
664,48,3,163,68,89,96,2,26
665,46,2,151,52,79,91,2,23
666,47,2,148,49,74,90,1,23
667,54,3,167,67,86,94,3,24
668,53,1,154,58,90,94,2,25
669,58,1,160,65,85,95,1,25
670,63,1,148,51,93,96,1,25
671,57,1,161,59,85,90,3,23
672,55,1,155,71,100,101,3,30
673,44,2,155,57,85,91,1,24
674,43,2,168,76,93,105,4,27
675,43,2,149,59,82,94,2,26
676,64,1,149,60,93,98,1,27
677,59,1,161,69,86,97,4,27
678,49,1,160,64,83,97,2,25
679,45,2,170,65,83,95,5,23
680,50,3,166,60,79,95,4,22
681,54,3,175,78,97,102,4,26
682,57,1,165,73,92,95,2,27
683,51,2,165,58,87,94,3,21
684,68,2,163,64,85,95,1,24
685,68,1,145,44,88,90,1,21
686,58,2,166,49,72,73,2,18
687,64,1,175,76,90,104,2,25
688,59,1,143,56,90,96,1,27
689,45,2,168,67,92,94,4,24
690,64,2,154,56,85,89,1,24
691,46,2,163,68,86,94,3,25
692,44,2,147,62,89,94,3,29
693,68,1,149,53,90,96,1,24
694,59,1,155,54,84,90,3,22
695,58,3,167,65,84,92,1,23
696,59,1,160,50,72,86,1,20
697,42,6,168,83,96,103,7,30
698,67,1,150,40,72,84,1,18
699,42,2,169,78,95,104,1,27
700,63,2,167,64,83,94,1,23
701,57,2,169,78,97,100,1,27
702,57,2,156,54,88,90,2,22
703,52,2,174,64,79,93,3,21
704,50,2,162,65,94,97,1,25
705,64,1,149,55,92,92,1,25
706,67,1,152,54,93,90,1,23
707,48,1,149,58,88,94,2,26
708,53,1,147,53,87,94,1,24
709,49,1,171,73,90,101,4,25
710,45,1,159,68,82,101,4,27
711,65,1,161,48,72,87,2,19
712,52,1,156,66,93,102,2,27
713,40,3,181,89,91,104,3,27
714,62,1,155,46,79,84,1,19
715,68,1,165,60,74,91,1,22
716,45,1,163,75,91,95,1,28
717,64,3,162,61,81,94,2,23
718,66,1,158,54,72,76,1,22
719,65,1,159,62,87,87,1,25
720,57,1,149,60,90,96,1,27
721,53,5,170,63,71,90,2,22
722,47,6,152,65,85,99,2,28
723,64,3,152,51,77,91,1,22
724,58,1,152,60,91,94,1,26
725,69,1,156,52,85,90,1,21
726,62,2,163,56,77,86,1,21
727,59,1,155,74,100,100,2,31
728,40,3,158,54,73,89,8,22
729,64,3,170,57,74,89,2,20
730,66,1,167,67,87,92,1,25
731,40,2,156,60,83,94,3,25
732,45,3,155,54,74,88,5,22
733,64,1,164,76,92,98,2,28
734,67,1,147,44,80,89,2,21
735,45,3,157,53,72,85,2,21
736,55,5,165,59,79,93,2,22
737,49,5,162,47,72,89,2,18
738,67,2,160,81,101,94,2,32
739,64,1,163,61,84,91,1,23
740,57,1,168,78,90,104,1,28
741,66,1,165,52,75,87,1,19
742,59,1,151,56,82,93,1,25
743,50,1,152,54,83,90,2,23
744,44,3,165,72,91,99,2,27
745,40,1,154,56,73,92,2,23
746,66,2,164,54,72,86,1,20
747,58,1,154,49,80,87,1,21
748,53,1,148,76,98,108,3,35
749,49,3,178,75,83,95,5,24
750,43,2,158,66,85,99,1,27
751,69,1,142,56,98,94,2,28
752,69,1,167,71,87,97,1,25
753,68,1,155,61,88,96,1,25
754,49,1,153,74,67,107,5,32
755,48,2,157,59,85,92,2,24
756,49,2,164,58,78,90,4,22
757,46,2,158,55,77,90,4,22
758,48,3,173,67,83,90,1,22
759,44,3,149,63,91,97,1,28
760,55,3,169,70,88,95,2,24
761,41,2,160,57,76,95,1,22
762,54,1,151,59,88,92,2,26
763,48,3,161,59,79,96,3,23
764,51,3,177,75,88,94,4,24
765,45,2,161,71,92,99,4,28
766,43,2,168,70,90,94,5,25
767,40,2,151,48,69,89,5,21
768,57,1,168,54,74,86,1,19
769,66,1,142,43,75,83,1,21
770,67,1,164,61,93,88,1,23
